name,riemann,glm_cr,returncode,reused,elapsed_wall_s,t,steps,divB_mean,divB_max,finite_rho,rho_min,rho_max,grid_status,grid,metadata,diagnostics_line
hll_glm0.05,hll,0.05,0,False,0.33703460000106134,0.05,19,0.05007,0.3549,True,2.4490536182475844,3.6134316601114365,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hll_glm0.05\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hll_glm0.05\metadata.json,[mhd] t=0.050000 steps=19 divB_mean=5.007e-02 divB_max=3.549e-01
hll_glm0.18,hll,0.18,0,False,0.33360139999422245,0.05,19,0.04532,0.4709,True,2.4490739564296917,3.613536402197007,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hll_glm0.18\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hll_glm0.18\metadata.json,[mhd] t=0.050000 steps=19 divB_mean=4.532e-02 divB_max=4.709e-01
hlld_glm0.05,hlld,0.05,0,False,0.3578774999914458,0.05,19,0.04496,0.2431,True,2.4406050807266118,3.7134857591132406,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hlld_glm0.05\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hlld_glm0.05\metadata.json,[mhd] t=0.050000 steps=19 divB_mean=4.496e-02 divB_max=2.431e-01
hlld_glm0.18,hlld,0.18,0,False,0.36144100000092294,0.05,19,0.04057,0.3397,True,2.440437492428486,3.7136133697811218,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hlld_glm0.18\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_glm_sweep\runs\hlld_glm0.18\metadata.json,[mhd] t=0.050000 steps=19 divB_mean=4.057e-02 divB_max=3.397e-01
