name,riemann,glm_cr,returncode,reused,elapsed_wall_s,t,steps,divB_mean,divB_max,finite_rho,rho_min,rho_max,grid_status,grid,metadata,error,diagnostics_line
hll_glm0.18,hll,0.18,0,False,8.668801499996334,0.5,396,0.1364,1.734,True,1.2897721358739263,4.891418218485277,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hll_glm0.18\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hll_glm0.18\metadata.json,,[mhd] t=0.500000 steps=396 divB_mean=1.364e-01 divB_max=1.734e+00
hll_glm0,hll,0.0,0,False,7.855133299948648,0.5,397,0.1497,2.134,True,1.2856449121427902,4.8878286416644166,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hll_glm0\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hll_glm0\metadata.json,,[mhd] t=0.500000 steps=397 divB_mean=1.497e-01 divB_max=2.134e+00
hlld_glm0.18,hlld,0.18,0,False,3.8759450999787077,0.5,401,0.3184,13.53,True,1.2812892237229307,6.0450622036068715,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hlld_glm0.18\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hlld_glm0.18\metadata.json,,[mhd] t=0.500000 steps=401 divB_mean=3.184e-01 divB_max=1.353e+01
hlld_glm0,hlld,0.0,0,False,3.7459360999055207,0.5,401,0.316,12.71,True,1.277615402706279,6.05970712679833,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hlld_glm0\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t050\runs\hlld_glm0\metadata.json,,[mhd] t=0.500000 steps=401 divB_mean=3.160e-01 divB_max=1.271e+01
