solver,field,p53_spread,p24_spread,p24_p53_ratio,amplification_decades,deterministic_linf,deterministic_to_p24_ratio
hll,rho,4.796711693331816e-16,1.4312820382628893e-07,298388172.933678,8.474781605223438,3.1186350812895114e-07,2.178910234264184
hll,vx,1.5091522635465025e-15,4.0873514500199647e-07,270837578.7354089,8.432708922587537,1.9026693476309475e-07,0.46550177318900576
hll,By,2.6550724798766853e-17,1.0874808531563149e-08,409586126.7059734,8.612345238013965,1.188045463348353e-08,1.0924748329132954
hll,p,5.438959822042073e-16,1.8318602837717112e-07,336803422.6595802,8.527376496232055,2.685604050256529e-07,1.4660528829889805
hlld,rho,1.2429209975126394e-15,4.290742970936029e-07,345214456.87398934,8.53808897478689,7.429011179560518e-07,1.7314043814514188
hlld,vx,3.952319900126506e-15,1.6767997529556405e-06,424257093.3850697,8.627629112256043,3.2796424542791414e-07,0.19558939274044035
hlld,By,6.49367753053324e-17,2.108723164181665e-08,324734813.8657115,8.511528850557896,2.4044809955522115e-08,1.1402544612750634
hlld,p,8.133220384522988e-16,2.6748200904592617e-07,328875889.74587214,8.517032036042295,3.5893792871277697e-07,1.3419142842281702
