solver,precision,repeats,wall_time_median_s,wall_time_iqr_s,wall_time_q25_s,wall_time_q75_s,wall_time_min_s,wall_time_max_s,max_ulp_vs_repeat1
hll,double,5,34.48408379999455,0.10333930014166981,34.46901469992008,34.57235400006175,34.366562100010924,34.73455060005654,0
hll,float,5,29.19625439995434,0.8014696999453008,29.00563150004018,29.807101199985482,28.910994999925606,29.85768520005513,0
hlld,double,5,39.54186909995042,0.19726780010387301,39.3470727999229,39.54434060002677,39.03988940001,39.66245309996884,0
hlld,float,5,34.25385790003929,0.1582156999502331,34.236161400098354,34.39437710004859,34.19733789993916,34.66713059996255,0
