variant,precision,opt,fastmath,riemann,solver,profile,case,subdir,nx,ny,t_end,finite,rc,steps,divB_mean,divB_max,walltime_s,dx,dy,symmetry_residual_rho,is_reference,L1_rho,L2_rho,Linf_rho,L1_By,L2_By,Linf_By,L1_p,L2_p,Linf_p,L1_vx,L2_vx,Linf_vx
cpu-double-O2-ieee-leq,double,O2,False,leq,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.5908564000856131,0.0078125,0.0078125,1.1976894932717111e-15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-ieee-strict,double,O2,False,strict,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.5843084999360144,0.0078125,0.0078125,1.1976894932717111e-15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-Ofast-ieee-leq,double,Ofast,False,leq,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.5935498999897391,0.0078125,0.0078125,1.0646128829081876e-15,False,1.0036416142611415e-13,1.1915323464697066e-14,7.105427357601002e-15,2.63673148466307e-14,3.0639557208133355e-15,1.1379786002407855e-15,8.557477643167388e-14,1.049532877659272e-14,7.771561172376096e-15,2.7284987403540474e-14,3.306409843535136e-15,2.4424906541753444e-15
cpu-double-Ofast-ieee-strict,double,Ofast,False,strict,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.5897991999518126,0.0078125,0.0078125,1.0646128829081876e-15,False,1.0036416142611415e-13,1.1915323464697066e-14,7.105427357601002e-15,2.63673148466307e-14,3.0639557208133355e-15,1.1379786002407855e-15,8.557477643167388e-14,1.049532877659272e-14,7.771561172376096e-15,2.7284987403540474e-14,3.306409843535136e-15,2.4424906541753444e-15
cpu-float-O2-ieee-leq,float,O2,False,leq,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.49278769991360605,0.0078125,0.0078125,7.858945923879107e-07,False,4.8716159531603936e-05,5.875406432021919e-06,3.3284610720940577e-06,1.7985977356403157e-05,2.3821970983246856e-06,1.8420339669214525e-06,4.171330365532189e-05,5.655061836023049e-06,3.908172059752246e-06,1.353185884267513e-05,1.5404935379880858e-06,1.0505715746234046e-06
cpu-float-O2-ieee-strict,float,O2,False,strict,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.4787308999802917,0.0078125,0.0078125,7.858945923879107e-07,False,4.8716159531603936e-05,5.875406432021919e-06,3.3284610720940577e-06,1.7985977356403157e-05,2.3821970983246856e-06,1.8420339669214525e-06,4.171330365532189e-05,5.655061836023049e-06,3.908172059752246e-06,1.353185884267513e-05,1.5404935379880858e-06,1.0505715746234046e-06
cpu-float-Ofast-ieee-leq,float,Ofast,False,leq,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.4868003998417407,0.0078125,0.0078125,7.144496294435552e-07,False,4.6334447515415655e-05,5.572689140879229e-06,3.4432778175386147e-06,1.7628988296536386e-05,2.3309539457142626e-06,1.9558329736879543e-06,4.0701844380436857e-05,5.62158498965935e-06,4.238645875176417e-06,1.3044706524523803e-05,1.4816775223544834e-06,9.93271322746736e-07
cpu-float-Ofast-ieee-strict,float,Ofast,False,strict,hll,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05161,1.173,0.48638550005853176,0.0078125,0.0078125,7.144496294435552e-07,False,4.6334447515415655e-05,5.572689140879229e-06,3.4432778175386147e-06,1.7628988296536386e-05,2.3309539457142626e-06,1.9558329736879543e-06,4.0701844380436857e-05,5.62158498965935e-06,4.238645875176417e-06,1.3044706524523803e-05,1.4816775223544834e-06,9.93271322746736e-07
