case,solver,precision,available_resolutions,status,rho_l1_128_256,rho_l2_128_256,rho_linf_128_256,rho_l1_256_512,rho_l2_256_512,rho_linf_256_512,observed_order_l1,observed_order_l2,observed_order_linf
orszag_tang_2d,hll,double,"[128, 256, 512]",complete,0.12027014391311341,0.17776851631247007,0.9750363029081983,0.07721667483938416,0.1136370392858288,0.6459439448974966,0.6392942152798822,0.6455666893648633,0.5940469617302713
orszag_tang_2d,hll,float,"[128, 256, 512]",complete,0.12027013758597604,0.17776849177465062,0.9750357866287231,0.07721607960593246,0.1136363225650104,0.6459373235702515,0.6393052606033834,0.6455755894849674,0.5940609864237649
orszag_tang_2d,hlld,double,"[128, 256, 512]",complete,0.07514601995936758,0.11082902385605839,0.7836257106161093,0.04181536595496839,0.06726204442954127,0.7811190878691363,0.8456635060954029,0.7204712078567337,0.004622217377967618
orszag_tang_2d,hlld,float,"[128, 256, 512]",complete,0.07514582796648028,0.11082861323022623,0.7836155891418457,0.04181208864883956,0.06725603289519341,0.7807857394218445,0.8457728966850929,0.7205948090041794,0.00521939547853222
kelvin_helmholtz_2d,hll,double,"[128, 256, 512]",complete,0.0034729181544089563,0.0043629489061696326,0.012246590058960782,0.0018363795865694965,0.0022487408048023545,0.006375537923796415,0.9192841113360448,0.9561861963844819,0.9417611242269013
kelvin_helmholtz_2d,hll,float,"[128, 256, 512]",complete,0.0034729688140942017,0.004362978824389614,0.012246757745742798,0.0018365044188612956,0.002248812765069604,0.006375521421432495,0.9192070885592236,0.9561499235367434,0.9417846124933867
kelvin_helmholtz_2d,hlld,double,"[128, 256, 512]",complete,0.00023090818210577037,0.00031129412952660027,0.0012083769288566693,8.495920012056276e-05,0.00011800398686663899,0.0004397606380288632,1.4424772065924594,1.3994427672006087,1.4582801617958583
kelvin_helmholtz_2d,hlld,float,"[128, 256, 512]",complete,0.000230752867537376,0.0003111232790037036,0.001210927963256836,8.527475324626721e-05,0.00011816760942080822,0.00044149160385131836,1.4361579958462858,1.3966517081091256,1.4556551367528598
