case,solver,precision,resolution,cfl,gamma,steps,divB_mean,divB_max,wall_time_s,binary,binary_sha256,run_dir,status,failure_category,failure_message,output_precision_bytes,finite,physical_state,rho_min,pressure_min,rho_l1_fp32_vs_fp64,rho_l2_fp32_vs_fp64,rho_linf_fp32_vs_fp64
orszag_tang_2d,hlld,float,512,0.2,1.6666666666666667,3277,0.1969,33.08,420.87377729988657,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,11f23ac25da879cdefe60ad2d05816f7be29971542ef5277c64c2bdcc5010a2e,experiments/week18/resolution_ladder_pair_completion/runs/orszag_tang_2d-hlld-float-n512-cfl0p2,completed,,,4,True,True,1.0976102352142334,0.3798494598863428,5.554106475580879e-05,0.00048328651963555527,0.05031345962367162
kelvin_helmholtz_2d,hll,double,128,0.4,1.6666666666666667,574,6.877e-05,0.0006029,4.382657399983145,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hll-double-n128,completed,,,8,True,True,0.9758093548657508,1.004276064486395,1.3569580735076732e-07,1.7092489702312903e-07,7.066229195107354e-07
kelvin_helmholtz_2d,hll,double,256,0.4,1.6666666666666667,1148,4.411e-05,0.0006714,34.61786919995211,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hll-double-n256,completed,,,8,True,True,0.9857440191033426,0.9981663071144827,2.876871268899469e-07,3.8936028602416005e-07,1.7860425698401627e-06
kelvin_helmholtz_2d,hll,double,512,0.4,1.6666666666666667,2296,2.305e-05,0.0009236,288.83575289999135,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hll-double-n512,completed,,,8,True,True,0.9904482719740147,0.9952234790028892,8.498483509494241e-07,1.1380005422133255e-06,4.399763972484649e-06
kelvin_helmholtz_2d,hll,float,128,0.4,1.6666666666666667,574,6.878e-05,0.0006041,3.6278340000426397,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hll-float-n128,completed,,,4,True,True,0.9758093357086182,1.0042760221958662,1.3569580735076732e-07,1.7092489702312903e-07,7.066229195107354e-07
kelvin_helmholtz_2d,hll,float,256,0.4,1.6666666666666667,1148,4.413e-05,0.0006721,28.78990940004587,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hll-float-n256,completed,,,4,True,True,0.9857438802719116,0.9981659969539631,2.876871268899469e-07,3.8936028602416005e-07,1.7860425698401627e-06
kelvin_helmholtz_2d,hll,float,512,0.4,1.6666666666666667,2296,2.326e-05,0.0009279,230.68392059998587,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hll-float-n512,completed,,,4,True,True,0.9904483556747437,0.9952232121337135,8.498483509494241e-07,1.1380005422133255e-06,4.399763972484649e-06
kelvin_helmholtz_2d,hlld,double,128,0.2,1.6666666666666667,1148,0.0002747,0.009023,9.873740299954079,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hlld-double-n128-cfl0p2,completed,,,8,True,True,0.9954324223732126,0.9932802941763482,5.535700222278239e-07,7.047215675797133e-07,3.6295369938432742e-06
kelvin_helmholtz_2d,hlld,double,256,0.2,1.6666666666666667,2296,0.0001065,0.005294,75.85801179998089,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hlld-double-n256-cfl0p2,completed,,,8,True,True,0.9958242355637751,0.9932640184953377,1.0783098475900874e-06,1.3666835548746518e-06,7.204343150934989e-06
kelvin_helmholtz_2d,hlld,double,512,0.2,1.6666666666666667,4592,3.479e-05,0.005149,649.6812033000169,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hlld-double-n512-cfl0p2,completed,,,8,True,True,0.9961257736854163,0.9936181189755651,2.348312224242959e-06,2.9785995521996836e-06,1.4611670989816972e-05
kelvin_helmholtz_2d,hlld,float,128,0.2,1.6666666666666667,1148,0.0002746,0.009025,8.663966299965978,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hlld-float-n128-cfl0p2,completed,,,4,True,True,0.9954322576522827,0.9932803649483032,5.535700222278239e-07,7.047215675797133e-07,3.6295369938432742e-06
kelvin_helmholtz_2d,hlld,float,256,0.2,1.6666666666666667,2296,0.0001074,0.0053,68.546758600045,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hlld-float-n256-cfl0p2,completed,,,4,True,True,0.9958223700523376,0.9932640767051751,1.0783098475900874e-06,1.3666835548746518e-06,7.204343150934989e-06
kelvin_helmholtz_2d,hlld,float,512,0.2,1.6666666666666667,4592,4.271e-05,0.005115,557.7612418000354,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/kelvin_helmholtz_2d-hlld-float-n512-cfl0p2,completed,,,4,True,True,0.9961261749267578,0.993619438428322,2.348312224242959e-06,2.9785995521996836e-06,1.4611670989816972e-05
