solver,variable,N,U_ref_L1,U_ref_inf,n_cells,floor_L1,mu_trunc_l1,E_trunc,s_req
hllc,rho,200,37449.14540479999,1.7482125730451041,40000,0.0010420158940822506,315.4241023388165,0.008422731651932103,3.0745470357018627
hllc,u,200,15988.45602752169,1.5592270803811228,40000,0.0009293717625028627,470.10633225814934,0.02940285987896098,2.531610425735921
hllc,v,200,15988.668280924341,1.565088697796719,40000,0.0009328655587415213,469.1013905225013,0.02933961617567448,2.532545571947301
hllc,p,200,33210.0516739394,1.670559897567724,40000,0.0009957312927053714,339.7067963551493,0.010229035464636875,2.9901653156656187
rusanov,rho,200,37449.145404799994,1.7565751593733079,40000,0.001047000383957212,496.7560516264167,0.013264816760351109,2.8772987449668412
rusanov,u,200,15991.270986538368,1.4951006373131035,40000,0.0008911494239050767,600.7616898536926,0.03756810139478098,2.425180752623736
rusanov,v,200,15991.297919980376,1.4958509567590395,40000,0.0008915966491455075,600.5163273952327,0.037552694621799006,2.425358894415054
rusanov,p,200,33212.93161433263,1.6798753336590848,40000,0.0010012837252969056,495.58149904954786,0.014921341626936835,2.8261921262614624
