case,solver,precision,available_resolutions,status,rho_l1_128_256,rho_l2_128_256,rho_linf_128_256,rho_l1_256_512,rho_l2_256_512,rho_linf_256_512,observed_order_l1,observed_order_l2,observed_order_linf
orszag_tang_2d,hll,double,"[128, 256, 512]",complete,0.12250156870748234,0.1817468297634198,1.0193425919840386,0.07860356765603449,0.11574813976648445,0.6494468003414449,0.6401335238625162,0.6509411916664432,0.6503557532180672
orszag_tang_2d,hll,float,"[128, 256, 512]",complete,0.12250151392254338,0.18174679478142564,1.019343376159668,0.07860364088719507,0.1157480686434236,0.649451494216919,0.6401315345738968,0.6509418004659073,0.6503464360384927
kelvin_helmholtz_2d,hll,double,"[128, 256, 512]",complete,0.003465668862839011,0.004335977571675547,0.011804069997584099,0.0018359405748658013,0.002245540348261677,0.006316924879108843,0.9166144518753685,0.9492946492639504,0.9019900601233121
kelvin_helmholtz_2d,hll,float,"[128, 256, 512]",complete,0.0034659825132621336,0.004336205995014063,0.01180317997932434,0.001836410516034448,0.0022459133938552028,0.006319552659988403,0.9163757771177444,0.9491309986302571,0.9012812551991214
