case,pair,variable,time,l1,linf,lambda_l1,lambda_linf
sod,hllc_vs_rusanov_cpu_strict_smoke,rho,0.016903085094570332,0.002954545454545454,0.05909090909090908,31.460236216516428,5.6720518668968545
sod,hllc_vs_rusanov_cpu_strict_smoke,rho,0.028302352413219555,0.0047478847489807775,0.07245275273041415,31.460236216516428,5.6720518668968545
sod,hllc_vs_rusanov_cpu_strict_smoke,rho,0.03,0.004134993473282812,0.058095142016529266,31.460236216516428,5.6720518668968545
lw3,hllc_vs_rusanov_cpu_strict_smoke,rho,0.014921646560077417,0.014026765747134611,0.2868360214990773,-8.706300495502884,-29.39223940123749
lw3,hllc_vs_rusanov_cpu_strict_smoke,rho,0.02237702436598464,0.012469799554491458,0.2260840608716992,-8.706300495502884,-29.39223940123749
lw3,hllc_vs_rusanov_cpu_strict_smoke,rho,0.03,0.012296334827289458,0.18411946002888335,-8.706300495502884,-29.39223940123749
