name,riemann,glm_cr,returncode,reused,elapsed_wall_s,t,steps,divB_mean,divB_max,finite_rho,rho_min,rho_max,grid_status,grid,metadata,error,diagnostics_line
hll_glm0.18,hll,0.18,0,False,5.142951200017706,0.3,238,0.1136,1.722,True,0.6728628044612829,5.26430532044296,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t030\runs\hll_glm0.18\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t030\runs\hll_glm0.18\metadata.json,,[mhd] t=0.300000 steps=238 divB_mean=1.136e-01 divB_max=1.722e+00
hlld_glm0.18,hlld,0.18,0,False,6.020054099964909,0.3,238,0.1932,6.339,True,0.6528854408565613,5.777973898558668,read,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t030\runs\hlld_glm0.18\grid.bin,C:\Users\tangy\Desktop\floatpoint\experiments\week13\hlld_divb_followup\t030\runs\hlld_glm0.18\metadata.json,,[mhd] t=0.300000 steps=238 divB_mean=1.932e-01 divB_max=6.339e+00
