time,steps,mode_amplitude,rho_min,rho_max,finite_positive_state
0.0,0,0.009341083256459217,1.0,1.0,True
0.25,1628,0.008346594080692818,0.9988614176786117,1.0005110352560653,True
0.5,3256,0.014429246136248686,0.9970627009278396,1.0017274969847922,True
0.75,4885,0.030497937822764554,0.9952408725666395,1.0028937021563535,True
1.0,6520,0.07218626374417168,0.9895804326302515,1.006667232992382,True
