row_type,name,precision,build,nx,ny,t_end,total_s,integral_min,integral_max,pair_label,left,right,l1,linf,ulp_max,philip_ratio
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,stationary-contact-hllc,stationary_contact-cpu-double-O2-ieee-leq-hllc,stationary_contact-cpu-double-O2-ieee-strict-hllc,0.0,0.0,0.0,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,stationary-contact-hllc,stationary_contact-cpu-double-O3-ieee-leq-hllc,stationary_contact-cpu-double-Ofast-fastmath-leq-hllc,0.0,0.0,0.0,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,stationary-contact-hllc,stationary_contact-cpu-double-O3-ieee-leq-hllc,stationary_contact-cpu-double-O2-ieee-strict-hllc,0.0,0.0,0.0,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,stationary-contact-hllc,stationary_contact-cpu-double-Ofast-fastmath-leq-hllc,stationary_contact-cpu-double-O2-ieee-strict-hllc,0.0,0.0,0.0,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,lw3-n200-hllc,lw3-n200-cpu-double-O2-ieee-leq-hllc,lw3-n200-cpu-double-O3-ieee-leq-hllc,0.0,0.0,0.0,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,lw3-n200-hllc,lw3-n200-cpu-double-O2-ieee-leq-hllc,lw3-n200-cpu-double-Ofast-fastmath-leq-hllc,6.820593220616055e-16,3.885780586188048e-14,40.75950945217363,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,lw3-n200-hllc,lw3-n200-cpu-double-O2-ieee-leq-hllc,lw3-n200-cpu-double-O2-ieee-strict-hllc,5.02543114299481e-16,2.042810365310288e-14,21.427856397714137,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,lw3-n200-hllc,lw3-n200-cpu-double-O3-ieee-leq-hllc,lw3-n200-cpu-double-Ofast-fastmath-leq-hllc,6.820593220616055e-16,3.885780586188048e-14,40.75950945217363,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,lw3-n200-hllc,lw3-n200-cpu-double-O3-ieee-leq-hllc,lw3-n200-cpu-double-O2-ieee-strict-hllc,5.02543114299481e-16,2.042810365310288e-14,21.427856397714137,n/a
pair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,lw3-n200-hllc,lw3-n200-cpu-double-Ofast-fastmath-leq-hllc,lw3-n200-cpu-double-O2-ieee-strict-hllc,6.776423192955317e-16,2.7533531010703882e-14,28.881023840397305,n/a
