nx,reference_nx,L1,L2,Linf
200,8000,0.014805544029617243,0.03641584347124795,0.20834925977284052
400,8000,0.009463267337920083,0.02713725547810314,0.1914836011322807
800,8000,0.005641657501720635,0.01923044535066573,0.15468487592814972
