variant,precision,opt,fastmath,riemann,solver,profile,case,subdir,nx,ny,t_end,finite,rc,steps,divB_mean,divB_max,walltime_s,dx,dy,symmetry_residual_rho,is_reference,L1_rho,L2_rho,Linf_rho,L1_By,L2_By,Linf_By,L1_p,L2_p,Linf_p,L1_vx,L2_vx,Linf_vx
cpu-double-O2-ieee-leq,double,O2,False,leq,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.6489174000453204,0.0078125,0.0078125,2.0165744833834902e-15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-ieee-strict,double,O2,False,strict,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.6558856999035925,0.0078125,0.0078125,2.0165744833834902e-15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-Ofast-ieee-leq,double,Ofast,False,leq,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.6387768001295626,0.0078125,0.0078125,2.079592435989226e-15,False,1.9866226719233993e-13,2.3229717237970175e-14,1.2878587085651816e-14,4.179596495019599e-14,4.9305840989788e-15,2.4424906541753444e-15,1.354246575990814e-13,1.630991403345382e-14,9.769962616701378e-15,4.836624247684522e-14,6.1302137971831355e-15,6.8833827526759706e-15
cpu-double-Ofast-ieee-strict,double,Ofast,False,strict,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.6409106000792235,0.0078125,0.0078125,2.079592435989226e-15,False,1.9866226719233993e-13,2.3229717237970175e-14,1.2878587085651816e-14,4.179596495019599e-14,4.9305840989788e-15,2.4424906541753444e-15,1.354246575990814e-13,1.630991403345382e-14,9.769962616701378e-15,4.836624247684522e-14,6.1302137971831355e-15,6.8833827526759706e-15
cpu-float-O2-ieee-leq,float,O2,False,leq,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.5761448999401182,0.0078125,0.0078125,2.2667767530743923e-06,False,8.5997325250841e-05,1.0337429546540076e-05,1.6498294719280437e-05,2.3584959743156926e-05,2.929745592510835e-06,1.8534660023716842e-06,6.2054800190804e-05,7.839588465005205e-06,9.340945653413257e-06,2.163857407151927e-05,2.769403924186831e-06,4.9657096946598145e-06
cpu-float-O2-ieee-strict,float,O2,False,strict,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.5670038000680506,0.0078125,0.0078125,2.2667767530743923e-06,False,8.5997325250841e-05,1.0337429546540076e-05,1.6498294719280437e-05,2.3584959743156926e-05,2.929745592510835e-06,1.8534660023716842e-06,6.2054800190804e-05,7.839588465005205e-06,9.340945653413257e-06,2.163857407151927e-05,2.769403924186831e-06,4.9657096946598145e-06
cpu-float-Ofast-ieee-leq,float,Ofast,False,leq,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.5617338998708874,0.0078125,0.0078125,1.5224617922988605e-06,False,8.408876481598784e-05,1.0062777329514699e-05,1.091984187739925e-05,2.3822880128483342e-05,2.9211815652104034e-06,1.7618332145974414e-06,6.11558263793905e-05,7.770095470173447e-06,6.58044608981001e-06,2.1366657723415592e-05,2.690656236053218e-06,3.4086765229313087e-06
cpu-float-Ofast-ieee-strict,float,Ofast,False,strict,hlld,gate,orszag_tang.cfg,gate128,128,128,0.1,True,0,76,0.05177,1.085,0.5615296999458224,0.0078125,0.0078125,1.5224617922988605e-06,False,8.408876481598784e-05,1.0062777329514699e-05,1.091984187739925e-05,2.3822880128483342e-05,2.9211815652104034e-06,1.7618332145974414e-06,6.11558263793905e-05,7.770095470173447e-06,6.58044608981001e-06,2.1366657723415592e-05,2.690656236053218e-06,3.4086765229313087e-06
