case,precision,nx,ny,steps_cpu,steps_gpu,t_cpu,t_gpu,elapsed_cpu_s,elapsed_gpu_s,speedup_cpu_over_gpu,l1_mean_abs,linf_abs,ulp_max,divB_max_cpu,divB_max_gpu,gate_passed
brio_wu_1d,double,800,1,759,759,0.1,0.1,0.18304150004405528,2.782376699964516,0.06578602388612212,0.0,0.0,0,4.441e-14,4.441e-14,True
brio_wu_1d,float,800,1,759,759,0.1,0.1,0.14949450001586229,0.28873570007272065,0.5177555112797301,0.0,0.0,0,0.0,0.0,True
orszag_tang_2d,double,256,256,806,806,0.5,0.5,24.644785500015132,4.393993400037289,5.6087443144102105,0.0,0.0,0,3.72,3.72,True
orszag_tang_2d,float,256,256,806,806,0.5,0.5,19.84698029991705,3.509592100046575,5.655067521850663,0.0,0.0,0,3.72,3.72,True
